full_address,council_area,property_type,development_zone_base,property_count,lot_size
82 PAXTON STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
101 MELVILLE ROAD,MERRI-BEK,UNIT,Residential Growth Zone,5,Small
29 WALPOLE STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
2 NAPIER STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
29 YARDLEY STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
31 ABINGER STREET,YARRA,UNIT,General Residential Zone,5,Small
323 ORRONG ROAD,PORT PHILLIP,UNIT,General Residential Zone,5,Small
9 BUCKLAND STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
46 DOW STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
2 MERCER ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
321 WAVERLEY ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
2 MELVILLE STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
30 RANKINS ROAD,MELBOURNE,UNIT,General Residential Zone,5,Small
2 PARK STREET,MELBOURNE,UNIT,General Residential Zone,5,Small
82 IRELAND STREET,MELBOURNE,HOUSE,Mixed Use Zone,5,Small
29 ROYAL AVENUE,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
9 DEVON DRIVE,MANNINGHAM,UNIT,General Residential Zone,5,Small
82 CADE WAY,MELBOURNE,UNIT,Residential Growth Zone,5,Small
18 LAUNDER STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
11 MINCHA STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
41 PARKHILL ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
2 RICH STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
41 POTTER STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
132 YARRBAT AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
2 RANKINS ROAD,MELBOURNE,UNIT,General Residential Zone,5,Small
1325 DANDENONG ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
41 SCOTT STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
2 POZIERES AVENUE,PORT PHILLIP,UNIT,General Residential Zone,5,Small
101 LUCERNE CRESCENT,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
82 DONCASTER ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
2 PODMORE STREET,GREATER DANDENONG,HOUSE,General Residential Zone,5,Small
59 AVOCA STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
46 MCKEAN STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
12 BEAUMONT PARADE,MARIBYRNONG,UNIT,General Residential Zone,5,Small
307 AUBURN ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
46 LANSDOWNE ROAD,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
30 RYEBURNE AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
42 WHITEHALL STREET,MARIBYRNONG,UNIT,Activity Centre Zone,5,Small
446 ALBION STREET,MERRI-BEK,UNIT,Residential Growth Zone,5,Small
65 PARK STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
10 BURNETT STREET,PORT PHILLIP,HOUSE,Neighbourhood Residential Zone,5,Small
12 EDGAR STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
44 ASCOT VALE ROAD,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
3 MEREDITH STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
138 TOORAK ROAD,MELBOURNE,UNIT,General Residential Zone,5,Small
57 OSHANASSY STREET,MELBOURNE,UNIT,General Residential Zone,5,Small
67 EASEY STREET,YARRA,UNIT,General Residential Zone,5,Small
67 DOVER STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
312 PASCOE VALE ROAD,MOONEE VALLEY,UNIT,Mixed Use Zone,5,Small
69 YORK STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
562 TOORAK ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
19 WAXMAN PARADE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
19 BALLATER STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
87 BULLA ROAD,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
867 TOORAK ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
12 ELLESMERE ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
3 VIOLET STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
31 MATER STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
19 BRIGGS CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
57 MANNINGHAM ROAD,MANNINGHAM,UNIT,Residential Growth Zone,5,Small
3 NEWLANDS ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
19 VICTORIA STREET,YARRA,UNIT,Mixed Use Zone,5,Small
19 TRENT STREET,BOROONDARA,UNIT,Commercial 1 Zone,5,Small
31 WEIR STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
3 VERDANT AVENUE,STONNINGTON,UNIT,General Residential Zone,5,Small
89 ADDISON STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
190 REYNOLDS ROAD,MANNINGHAM,UNIT,Residential Growth Zone,5,Small
7 CELESTE COURT,PORT PHILLIP,UNIT,General Residential Zone,5,Small
11 DANIN STREET,MERRI-BEK,UNIT,General Residential Zone,5,Small
32 ADAMS STREET,MELBOURNE,UNIT,General Residential Zone,5,Small
31 INVERNESS AVENUE,STONNINGTON,UNIT,Residential Growth Zone,5,Small
59 SMITH STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
89 CAROLINE STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
30 ARGYLE STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
7 COOLULLAH AVENUE,STONNINGTON,UNIT,General Residential Zone,5,Small
192 FRANCIS STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
12 CROMWELL ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
10 DEAN AVENUE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
12 FOOTE STREET,MANNINGHAM,UNIT,General Residential Zone,5,Small
191 WILLIAMS ROAD,STONNINGTON,UNIT,Neighbourhood Residential Zone,5,Small
3 LEOPOLD AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
560 TOORAK ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
191 REYNOLDS ROAD,MANNINGHAM,UNIT,Residential Growth Zone,5,Small
1887 MALVERN ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
12 MITFORD STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
66 MATHOURA ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
30 ABBOTSFORD STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
45 FOAM STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
191 FRANKLIN STREET,MELBOURNE,UNIT,Capital City Zone,5,Small
3 YOUNG STREET,MOONEE VALLEY,UNIT,Activity Centre Zone,5,Small
31 LARBERT ROAD,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
57 RHODES PARADE,MERRI-BEK,UNIT,General Residential Zone,5,Small
19 CARDIGAN STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
19 STUART STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
84 CLOW STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
10 BRENBEAL STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
10 BRAEMAR STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
3 SCOTT STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
1 FULTON STREET,PORT PHILLIP,HOUSE,General Residential Zone,5,Small
44 VIEW ROAD,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
44 WALPOLE STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
44 WATERLOO CRESCENT,PORT PHILLIP,HOUSE,General Residential Zone,5,Small
3 SEBASTOPOL STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
566 GLENFERRIE ROAD,BOROONDARA,UNIT,Residential Growth Zone,5,Small
441 BRUNSWICK ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
7 ARDOCH AVENUE,PORT PHILLIP,UNIT,General Residential Zone,5,Small
88 GROSVENOR STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
19 HORACE STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,5,Small
44 GEELONG ROAD,MARIBYRNONG,UNIT,Neighbourhood Residential Zone,5,Small
3 SOMERSET STREET,MERRI-BEK,UNIT,General Residential Zone,5,Small
31 OLIVER ROAD,MANNINGHAM,UNIT,General Residential Zone,5,Small
7 ALLARD STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
448 BELL STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
3 ST GEORGES ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
19 HEATHER GROVE,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
3 STATION STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
1 FLORENCE STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
19 GLADSTONE STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
11 EDITH STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
445 ST KILDA STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
3 ROBINSON STREET,STONNINGTON,UNIT,Commercial 1 Zone,5,Small
3 RIVERSIDE AVENUE,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
7 AUSTIN AVENUE,PORT PHILLIP,UNIT,General Residential Zone,5,Small
88 IRELAND STREET,MELBOURNE,UNIT,Mixed Use Zone,5,Small
44 GOURLAY STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
19 CHANDOS STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
57 FOAM STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
66 WESTS ROAD,MARIBYRNONG,UNIT,Mixed Use Zone,5,Small
87 HELLER STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
44 HUNTER STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
11 DIGBY COURT,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
19 ROBERT STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
3 PASSFIELD STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
11 FITZGERALD ROAD,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
31 UNION STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
11 FIRTH STREET,MANNINGHAM,UNIT,Activity Centre Zone,5,Small
44 MACKAY STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
1 GARDENIA ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
19 DICKENS STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
19 ORGILL STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
7 BEACH AVENUE,PORT PHILLIP,UNIT,Commercial 1 Zone,5,Small
44 MUNRO STREET,MERRI-BEK,UNIT,Activity Centre Zone,5,Small
31 STRATHALBYN STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
696 ORRONG ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
3 RAGLAN STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
7 BAKER STREET,YARRA,UNIT,General Residential Zone,5,Small
3 REARK AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
32 ALBERT STREET,MERRI-BEK,UNIT,Mixed Use Zone,5,Small
89 GAMON STREET,MARIBYRNONG,UNIT,Neighbourhood Residential Zone,5,Small
30 BARTON STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
844 LYGON STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
2 DAVIES STREET,MERRI-BEK,UNIT,Commercial 1 Zone,5,Small
7 FURNEW STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
3 DENE AVENUE,STONNINGTON,UNIT,General Residential Zone,5,Small
2 DALE STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
181 ST KILDA ROAD,PORT PHILLIP,UNIT,Mixed Use Zone,5,Small
43 ABBOTSFORD STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
2 CRIMEA STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
45 STRATHALBYN STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
182 ALBERT ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,5,Small
30 GRANDVIEW STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
43 ASHBURN GROVE,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
100 BLYTH STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
30 BEAUMONT PARADE,MARIBYRNONG,UNIT,General Residential Zone,5,Small
32 JOHNSON STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
14 CARDIGAN STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
2 CHAPMAN AVENUE,MERRI-BEK,UNIT,General Residential Zone,5,Small
100 BURKE ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
182 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
65 WILSON STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
65 YARRAMAN ROAD,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
45 SPRAY STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
32 GRANGE ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
136 PARK STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
43 CHANDLER ROAD,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
2 DEVON ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
84 STANHOPE STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
30 HARTWOOD STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
30 HEYINGTON CRESCENT,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
58 CHESTNUT STREET,YARRA,UNIT,General Residential Zone,5,Small
11 JOHN STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
2 FIONA COURT,PORT PHILLIP,UNIT,General Residential Zone,5,Small
3 BUNDALOHN COURT,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
2 EVELINA ROAD,STONNINGTON,UNIT,Neighbourhood Residential Zone,5,Small
3 CARNARVON STREET,MANNINGHAM,UNIT,Activity Centre Zone,5,Small
423 GAFFNEY STREET,MERRI-BEK,UNIT,Residential Growth Zone,5,Small
7 GUILD AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
65 POTTER STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
45 WILGAH STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
2 ERINDALE AVENUE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
12 LAMART STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
101 CROWN STREET,YARRA,UNIT,Commercial 1 Zone,5,Small
2 EMPIRE STREET,MARIBYRNONG,UNIT,Residential Growth Zone,5,Small
136 ALMA ROAD,PORT PHILLIP,UNIT,General Residential Zone,5,Small
7 GRANDVIEW AVENUE,MARIBYRNONG,UNIT,General Residential Zone,5,Small
7 GOVAN STREET,MARIBYRNONG,HOUSE,General Residential Zone,5,Small
101 BARKLY STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
7 GOURLAY STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
58 BATEMAN ROAD,MELBOURNE,UNIT,General Residential Zone,5,Small
425 BRUNSWICK ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
84 MIDDLE STREET,MERRI-BEK,UNIT,General Residential Zone,5,Small
19 GRANDVIEW TERRACE,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
43 CLIFTON ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
1 HAMMERDALE AVENUE,PORT PHILLIP,UNIT,General Residential Zone,5,Small
2 BUTLER STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
43 ROSSLYN STREET,MELBOURNE,UNIT,Mixed Use Zone,5,Small
10 FITZGIBBON AVENUE,MERRI-BEK,UNIT,General Residential Zone,5,Small
185 BUCKLEY STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
14 BOLINGBROKE STREET,MERRI-BEK,UNIT,General Residential Zone,5,Small
10 FIRTH STREET,MANNINGHAM,UNIT,Activity Centre Zone,5,Small
45 MOOR STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
3 HENRY STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
30 BOWMORE ROAD,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
138 BLYTH STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
186 BROUGHAM STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
3 HIGH ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
66 DEVEREAUX STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
45 MARINE PARADE,PORT PHILLIP,UNIT,General Residential Zone,5,Small
3 HUME ROAD,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
45 LINDA CRESCENT,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
138 CHURCH STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
195 MITCHAM ROAD,MANNINGHAM,UNIT,General Residential Zone,5,Small
31 HOLROYD AVENUE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
89 HARP ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
43 WESTBURY STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
86 GROSVENOR STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
7 DARE STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
43 WILSON STREET,STONNINGTON,UNIT,Activity Centre Zone,5,Small
187 BARKERS ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
197 WAVERLEY ROAD,STONNINGTON,UNIT,Commercial 1 Zone,5,Small
12 LEWISHAM ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
136 THROUGH ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
85 VIEW STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
576 ORRONG ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
3 ELIZABETH STREET,MANNINGHAM,UNIT,General Residential Zone,5,Small
10 CELESTE COURT,PORT PHILLIP,UNIT,General Residential Zone,5,Small
69 DENBIGH ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
183 COPPIN STREET,YARRA,UNIT,General Residential Zone,5,Small
69 EARL STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
45 ROCKLEY ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
652 BARKLY STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
10 BARNET STREET,MARIBYRNONG,UNIT,Neighbourhood Residential Zone,5,Small
10 FRANK STREET,MANNINGHAM,UNIT,General Residential Zone,5,Small
10 FOX STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
2 BALMORAL STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
2 ALLARD STREET,MERRI-BEK,UNIT,General Residential Zone,5,Small
85 STATION ROAD,MERRI-BEK,HOUSE,General Residential Zone,5,Small
3 FRANKLIN ROAD,MANNINGHAM,UNIT,General Residential Zone,5,Small
30 DOYLE STREET,MANNINGHAM,UNIT,General Residential Zone,5,Small
89 STATION ROAD,MERRI-BEK,UNIT,General Residential Zone,5,Small
7 EMPIRE STREET,MARIBYRNONG,UNIT,Residential Growth Zone,5,Small
30 DAVISON STREET,YARRA,UNIT,General Residential Zone,5,Small
31 FLEMINGTON STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
11 HARTINGTON STREET,MERRI-BEK,UNIT,General Residential Zone,5,Small
7 ELGIN AVENUE,STONNINGTON,UNIT,General Residential Zone,5,Small
32 CRIMEA STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
58 BARKLY STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
25 LINCOLN ROAD,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
7 ORMSBY GROVE,STONNINGTON,UNIT,General Residential Zone,5,Small
1238 HEATHERTON ROAD,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
35 KING STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
6 WILLIAM STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
26 MONS PARADE,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
38 DUKE STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
13 CLARENDON STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
26 MIDDLE ROAD,MARIBYRNONG,UNIT,General Residential Zone,5,Small
777 MALVERN ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
35 STUDLEY PARK ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
26 MCARTHUR STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
62 DAVID STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
13 CHURCHILL STREET,MANNINGHAM,UNIT,General Residential Zone,5,Small
771 MALVERN ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
26 MACPHERSON STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
111 RUSKIN STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
23 SEFTON STREET,MERRI-BEK,UNIT,General Residential Zone,5,Small
26 OAK STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
72 DOVER STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
26 PINE AVENUE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
6 WEST BEACH ROAD,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
6 WELLINGTON CRESCENT,MELBOURNE,UNIT,General Residential Zone,5,Small
78 HORACE STREET,STONNINGTON,HOUSE,Commercial 1 Zone,5,Small
26 RIVERVIEW STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
35 HAMPTON PARADE,MARIBYRNONG,UNIT,General Residential Zone,5,Small
6 WAVE STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
26 SELBOURNE STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
62 KING GEORGE PARADE,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
23 MITCHELL STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
23 MIDDLE ROAD,MARIBYRNONG,UNIT,General Residential Zone,5,Small
35 GRANT STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
111 HOTHAM STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
72 BARKLY STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
23 WALTHAM STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
23 WILGAH STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
26 LEWISHAM ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
60 BUDD STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
239 CANTERBURY ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,5,Small
26 FAVERSHAM ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
238 BUCKLEY STREET,MOONEE VALLEY,UNIT,Commercial 1 Zone,5,Small
1 ROSS STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
124 INKERMAN STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
618 BARKLY STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
373 BELMORE ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
1 ROSNEY STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
373 WATTLETREE ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
112 DODDS STREET,MELBOURNE,UNIT,Capital City Zone,5,Small
60 CHELTENHAM ROAD,GREATER DANDENONG,UNIT,Comprehensive Development Zone,5,Small
60 CARLISLE STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
124 HAROLD ROAD,GREATER DANDENONG,UNIT,Neighbourhood Residential Zone,5,Small
376 ALBERT STREET,MERRI-BEK,HOUSE,Neighbourhood Residential Zone,5,Small
60 BRUNEL STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
23 WYNNSTAY ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
376 INKERMAN STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
376 PARK STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
35 RIVERSDALE ROAD,BOROONDARA,UNIT,Residential Growth Zone,5,Small
378 INKERMAN STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
26 GRANDVIEW GROVE,STONNINGTON,UNIT,General Residential Zone,5,Small
26 HOPETOUN AVENUE,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
35 PARK CRESCENT,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
231 NAPIER STREET,YARRA,HOUSE,Mixed Use Zone,5,Small
13 CARDIGAN STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
35 NOBLE STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
